Date,Time,PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Next_5_days_C6H6(GT),Next_10_days_C6H6(GT)
5/26/2004,21:00:00,1069,13.1,1086,1064,1536,1119,22.8,28.4,0.7804,7.5,3.8
5/26/2004,22:00:00,1021,10.9,1010,1116,1480,1027,21.7,29.2,0.7458,5.3,5.6
5/26/2004,23:00:00,1101,13.3,1093,1012,1564,1155,21.1,30.9,0.7617,6.5,8
5/27/2004,0:00:00,1026,9.5,960,1072,1471,1078,19.9,36.3,0.8349,4.7,5.6
5/27/2004,1:00:00,949,6.6,841,1155,1393,954,18.6,39.3,0.8355,2.9,3.8
5/27/2004,2:00:00,846,3.6,687,1295,1288,726,18.6,38.8,0.8228,2,6.6
5/27/2004,3:00:00,811,2.3,606,1417,1248,656,19,38.9,0.8468,1.1,7
5/27/2004,4:00:00,803,2,586,1442,1232,573,18,40.9,0.8394,1.3,5.2
5/27/2004,5:00:00,882,4.1,715,1246,1367,780,15.5,48.6,0.8505,2.4,2.4
5/27/2004,6:00:00,963,6.5,836,1085,1429,920,16,47.9,0.8659,6.1,3.1
5/27/2004,7:00:00,1413,24.8,1424,739,2102,1544,17,46,0.883,12.5,5.2
5/27/2004,8:00:00,1485,34.4,1650,632,2337,1789,19,41.6,0.9039,19.5,5.9
5/27/2004,9:00:00,1354,24.5,1418,749,2043,1629,21.8,35,0.9002,15.2,2.8
5/27/2004,10:00:00,1074,9,939,1071,1513,997,25.6,28,0.9088,12,3.4
5/27/2004,11:00:00,1022,8.4,914,1132,1446,847,26.4,23.1,0.7853,12.4,3
5/27/2004,12:00:00,1100,11.5,1034,995,1586,958,27.1,24.2,0.856,15.9,3.4
5/27/2004,13:00:00,1073,12.1,1052,1009,1574,854,27.5,20.9,0.7565,15.7,2.3
5/27/2004,14:00:00,1049,10.1,983,1071,1515,782,29.5,19.7,0.8015,13.5,2.7
5/27/2004,15:00:00,1086,11.9,1048,1016,1580,888,30.6,18.6,0.8014,12.4,3.6
5/27/2004,16:00:00,1059,11.3,1027,1066,1521,764,31.3,15.8,0.7106,17.1,4.2
5/27/2004,17:00:00,1244,20.2,1301,842,1801,1170,29.4,21,0.8452,22,4.9
5/27/2004,18:00:00,1320,24.8,1423,767,1986,1385,27,23.5,0.8256,19.9,5.9
5/27/2004,19:00:00,1236,20.3,1304,822,1868,1237,25.8,26.7,0.8758,27.9,6.6
5/27/2004,20:00:00,1136,16.2,1187,904,1735,1127,23.7,28.4,0.8225,19.7,7.6
5/27/2004,21:00:00,1110,13.3,1093,961,1661,1091,21.3,33,0.8284,15.7,7
5/27/2004,22:00:00,1026,10.3,990,1032,1553,972,20.5,35.3,0.8435,12,7.5
5/27/2004,23:00:00,1038,9.6,961,1026,1530,949,19.4,38.1,0.8511,13.1,8.4
5/28/2004,0:00:00,975,7.8,892,1015,1480,890,19.4,40.7,0.9045,9.2,7
5/28/2004,1:00:00,908,6.1,814,1089,1403,763,17.8,44.9,0.903,7.5,3.9
5/28/2004,2:00:00,896,6.2,820,1074,1439,833,16.6,49.7,0.9295,4.9,2.6
5/28/2004,3:00:00,810,3.8,697,1221,1321,675,16.5,48.6,0.9028,5.2,2
5/28/2004,4:00:00,789,2.8,638,1305,1309,672,15.2,53.6,0.919,3.2,2.1
5/28/2004,5:00:00,814,3.4,678,1276,1339,626,15.5,51.7,0.9019,2.4,2.4
5/28/2004,6:00:00,958,8.2,907,992,1536,882,14.9,54.8,0.9247,2.8,9.6
5/28/2004,7:00:00,1213,19.2,1274,762,1914,1264,16.3,51.3,0.9416,3.9,15.4
5/28/2004,8:00:00,1221,22.6,1367,722,2008,1330,18.4,45.7,0.9559,6.9,25
5/28/2004,9:00:00,1245,19.4,1281,774,1952,1324,20.8,43.6,1.0614,8.5,15.1
5/28/2004,10:00:00,1050,9.6,963,998,1609,901,24.3,35.1,1.0477,8.9,17.4
5/28/2004,11:00:00,1048,9.8,969,1012,1600,852,26.4,29.3,0.9889,8.8,14.1
5/28/2004,12:00:00,1141,14.4,1128,902,1738,1009,28.3,25,0.9495,7.4,11.8
5/28/2004,13:00:00,1052,12.1,1053,949,1641,831,28.9,23.7,0.9285,4.7,14.9
5/28/2004,14:00:00,1152,13.5,1099,908,1706,954,28.5,25.8,0.9931,4.8,16
5/28/2004,15:00:00,1026,12.3,1061,982,1564,814,29.6,18.9,0.7692,6.8,16.5
5/28/2004,16:00:00,1039,12.2,1055,966,1590,845,28,23.2,0.8613,8.9,15.2
5/28/2004,17:00:00,1148,12.5,1067,887,1790,956,23.6,41,1.1786,8.1,18.9
5/28/2004,18:00:00,1176,13.9,1114,843,1805,1102,21.5,48.1,1.2148,10.5,19
5/28/2004,19:00:00,1100,11.4,1028,900,1710,994,22.1,44.1,1.1573,14.8,28.9
5/28/2004,20:00:00,1081,10.4,992,959,1680,935,20.2,47.2,1.1043,11.8,13.4
5/28/2004,21:00:00,976,7,858,1070,1547,839,20,47.6,1.103,8.7,10.9
5/28/2004,22:00:00,979,7,857,1082,1546,797,19.8,46.8,1.0697,8.7,8.9
5/28/2004,23:00:00,1092,11.3,1024,937,1706,968,19.6,47,1.0606,6.9,8.5
5/29/2004,0:00:00,1044,9.2,946,1009,1594,886,19.3,46.3,1.0279,7.3,6.7
5/29/2004,1:00:00,940,6.8,849,1091,1509,764,18.5,48.7,1.0286,6.9,4.2
5/29/2004,2:00:00,892,5.1,767,1180,1466,657,18,51.4,1.0504,4.6,2.5
5/29/2004,3:00:00,838,3.4,675,1302,1390,540,17.9,50.8,1.0355,1.3,1.7
5/29/2004,4:00:00,853,4.3,727,1179,1417,621,17.7,51.9,1.0379,1.7,1.4
5/29/2004,5:00:00,738,1.5,545,1562,1266,450,17.7,49.7,0.997,3.2,2.8
5/29/2004,6:00:00,762,2,581,1588,1277,434,17.9,46.1,0.9383,10.1,8.8
5/29/2004,7:00:00,841,4,713,1293,1356,559,18.4,43.9,0.9192,19.9,19.4
5/29/2004,8:00:00,843,4,712,1303,1343,548,18.9,42.1,0.9081,20.2,36.1
5/29/2004,9:00:00,841,4,713,1326,1330,525,19.2,39.7,0.8728,20.8,27.1
5/29/2004,10:00:00,862,4.2,721,1329,1335,522,20.8,36.6,0.8878,15.1,19
5/29/2004,11:00:00,869,4.5,740,1296,1366,535,21.3,35.8,0.8975,10.9,16.9
5/29/2004,12:00:00,894,6,810,1204,1421,585,21.8,34.9,0.9004,11.1,15.7
5/29/2004,13:00:00,844,4.8,755,1284,1350,521,22.8,31.4,0.8615,12.1,14.1
5/29/2004,14:00:00,823,3.8,699,1382,1311,493,22.9,31.3,0.862,8.6,16.5
5/29/2004,15:00:00,843,4.2,719,1353,1330,501,22.9,30.7,0.8461,9.7,14.8
5/29/2004,16:00:00,865,5.1,767,1279,1369,559,23.8,29.2,0.8499,11,13
5/29/2004,17:00:00,873,5.6,792,1247,1397,589,23.2,30.2,0.8442,16.6,21.4
5/29/2004,18:00:00,899,5.8,803,1221,1426,596,22.4,31.3,0.8365,14.7,23.6
5/29/2004,19:00:00,921,7,856,1163,1437,681,21.7,32.2,0.825,19.5,25
5/29/2004,20:00:00,937,7.9,893,1106,1463,783,20.8,33.2,0.8061,14.5,21.6
5/29/2004,21:00:00,901,6.5,834,1177,1408,738,20.1,35,0.8149,7.8,15.7
5/29/2004,22:00:00,955,8.5,918,1056,1511,762,19.5,36.9,0.8258,7.8,10.9
5/29/2004,23:00:00,1065,13.7,1106,897,1707,929,19,38.2,0.8327,7.8,8.1
5/30/2004,0:00:00,1035,13.8,1110,907,1652,1044,18.5,39.4,0.832,8.5,10.2
5/30/2004,1:00:00,956,9.1,945,1030,1509,892,17.8,41.7,0.844,5.7,7.5
5/30/2004,2:00:00,869,6.5,835,1078,1437,807,19.2,42,0.9248,4.5,5.8
5/30/2004,3:00:00,831,6.2,822,1085,1418,710,17.8,44.8,0.9048,5.6,3.8
5/30/2004,4:00:00,815,5.2,774,1113,1374,712,17,47.7,0.9185,4.6,3.3
5/30/2004,5:00:00,781,3.1,661,1271,1299,568,17.2,47.2,0.9178,1.2,4
5/30/2004,6:00:00,781,2.9,645,1295,1320,575,17.3,47.6,0.9295,3.4,8.1
5/30/2004,7:00:00,828,3.6,690,1263,1353,658,18.6,44.2,0.9385,17,22.3
5/30/2004,8:00:00,803,2.7,635,1417,1272,537,20.2,37.8,0.8837,10,36.9
5/30/2004,9:00:00,811,3,653,1411,1269,486,22,31.9,0.8335,6,17.5
5/30/2004,10:00:00,844,3.7,696,1353,1292,507,25.5,25.9,0.8339,5.7,19.3
5/30/2004,11:00:00,833,3.8,697,1361,1294,496,27.5,22.8,0.8249,6.9,17.6
5/30/2004,12:00:00,832,4.2,719,1318,1299,502,28.7,20.7,0.8024,9.5,18.6
5/30/2004,13:00:00,771,2.6,626,1502,1210,430,29.1,19.6,0.7771,11.1,18
5/30/2004,14:00:00,783,2.8,637,1498,1215,439,29.8,18.4,0.7595,8.1,14
5/30/2004,15:00:00,815,4.2,723,1378,1256,471,32,15,0.7028,10.2,10.9
5/30/2004,16:00:00,912,6.2,819,1224,1368,589,30.3,17,0.7232,13.3,11.1
5/30/2004,17:00:00,894,5.2,774,1239,1339,598,31.7,16.2,0.745,16.6,21.6
5/30/2004,18:00:00,963,7.7,885,1102,1447,695,29.2,19.6,0.7817,16.9,27.6
5/30/2004,19:00:00,990,8.8,930,1045,1506,739,27.4,23.8,0.858,17.5,25.6
5/30/2004,20:00:00,1025,10.1,980,986,1591,891,25,26.9,0.8408,13.1,18.6
5/30/2004,21:00:00,997,9.8,971,993,1573,930,23.6,30.1,0.8663,9.2,15.2
5/30/2004,22:00:00,976,8.4,916,1044,1515,880,22.3,33.6,0.8913,10,11.7
5/30/2004,23:00:00,878,5.4,784,1181,1407,610,21.4,36.9,0.9271,13.1,8.7
5/31/2004,0:00:00,836,4.3,728,1213,1353,518,20.6,39.9,0.9597,12.9,7.6
5/31/2004,1:00:00,855,4.8,751,1107,1418,664,19.7,43.2,0.9812,7.8,5.2
5/31/2004,2:00:00,759,2.1,588,1323,1286,515,19.7,42.4,0.9636,9.2,5.9
5/31/2004,3:00:00,738,1.4,539,1421,1257,477,18.9,45,0.9703,6.9,4
5/31/2004,4:00:00,736,1.3,528,1451,1254,477,18.7,45.4,0.9694,4.5,3.3
5/31/2004,5:00:00,765,2.3,609,1304,1319,581,16.4,52.4,0.9709,4.9,5.4
5/31/2004,6:00:00,909,6.5,834,1031,1527,763,16.6,52.1,0.9785,7.9,8.7
5/31/2004,7:00:00,1108,14.2,1123,804,1801,1111,17.4,50.9,1.0017,7.4,19.9
5/31/2004,8:00:00,1252,22.7,1369,681,2120,1390,19.3,46,1.0185,8,30.4
5/31/2004,9:00:00,1175,16.3,1188,790,1901,1251,20.9,43.6,1.0683,7.6,24.6
5/31/2004,10:00:00,1111,14.1,1120,839,1790,1141,25.6,33.3,1.0773,5.3,16.9
5/31/2004,11:00:00,1044,12.6,1069,889,1683,942,28.9,26,1.0188,5.3,13.6
5/31/2004,12:00:00,1018,13.1,1088,909,1677,795,30.3,22.8,0.9695,8,15.3
5/31/2004,13:00:00,1060,14.2,1122,863,1721,836,30.9,24.4,1.0724,8.4,14.1
5/31/2004,14:00:00,1071,13.8,1110,864,1733,847,30.5,26.2,1.1278,6,17
5/31/2004,15:00:00,1006,12.1,1054,921,1636,769,30.7,23.4,1.015,7.3,13.8
5/31/2004,16:00:00,1104,15.7,1171,827,1803,968,28.1,29.8,1.1132,10.2,13.6
5/31/2004,17:00:00,1196,21.4,1336,739,1971,1157,26.9,32.2,1.1267,9,21.2
5/31/2004,18:00:00,1243,25,1429,687,2093,1367,26,34.6,1.1485,14,25.9
5/31/2004,19:00:00,1124,16.6,1199,794,1858,1101,24.5,37.7,1.1454,16.1,25.4
5/31/2004,20:00:00,1020,10.7,1003,904,1716,916,21.7,46.9,1.2044,8.2,23.6
5/31/2004,21:00:00,1035,7.5,878,977,1694,825,19.3,68.8,1.519,3.8,12
5/31/2004,22:00:00,986,5.3,781,1063,1633,693,17.6,81.6,1.6296,5.6,14.2
5/31/2004,23:00:00,1017,6.5,834,986,1676,734,17.8,80.3,1.6212,8,14.2
6/1/2004,0:00:00,922,4.7,750,1085,1585,685,18.6,75.7,1.6074,5.6,10.4
6/1/2004,1:00:00,830,2.9,644,1235,1487,524,19.6,68.4,1.5443,3.8,7.5
6/1/2004,2:00:00,805,2,583,1339,1494,527,18,76.4,1.5608,6.6,3.5
6/1/2004,3:00:00,760,1.1,505,1527,1413,452,17.3,77.2,1.5104,7,2.5
6/1/2004,4:00:00,783,1.3,529,1437,1435,466,16.5,82.3,1.5318,5.2,2.6
6/1/2004,5:00:00,854,2.4,613,1272,1515,565,16.8,81.3,1.5452,2.4,4
6/1/2004,6:00:00,985,6.1,816,987,1677,799,17.3,78.6,1.5412,3.1,7
6/1/2004,7:00:00,1225,12.5,1067,760,1922,1102,16.9,80.9,1.5472,5.2,24.8
6/1/2004,8:00:00,1313,19.5,1283,671,2180,1299,17.1,79.8,1.542,5.9,28.9
6/1/2004,9:00:00,1199,15.2,1156,758,1958,1272,18.5,70.3,1.4826,2.8,21.5
6/1/2004,10:00:00,1182,12,1051,829,1870,1206,19.6,66.7,1.5023,3.4,12.9
6/1/2004,11:00:00,1173,12.4,1063,814,1905,1218,20.4,63.1,1.4969,3,12.2
6/1/2004,12:00:00,1259,15.9,1178,722,2060,1367,21.6,61.8,1.5775,3.4,13.1
6/1/2004,13:00:00,1263,15.7,1171,759,2029,1290,24,49.3,1.4509,2.3,13.3
6/1/2004,14:00:00,1156,13.5,1100,800,1884,1175,25.7,43.8,1.4262,2.7,12.5
6/1/2004,15:00:00,1167,12.4,1065,808,1886,1139,24.6,47.5,1.4487,3.6,13
6/1/2004,16:00:00,1278,17.1,1213,733,2041,1293,24.8,47.4,1.4628,4.2,12.3
6/1/2004,17:00:00,1342,22,1351,657,2201,1419,23.7,50.5,1.4636,4.9,15.2
6/1/2004,18:00:00,1353,19.9,1292,683,2178,1326,23,53.8,1.4968,5.9,19.1
6/1/2004,19:00:00,1501,27.9,1501,588,2486,1517,21.5,65.8,1.6688,6.6,19.7
6/1/2004,20:00:00,1355,19.7,1289,678,2158,1391,21,66.9,1.6436,7.6,18.6
6/1/2004,21:00:00,1230,15.7,1169,737,2020,1275,20.6,68.1,1.6329,7,16.1
6/1/2004,22:00:00,1148,12,1048,822,1883,1168,20.5,66.9,1.5914,7.5,15
6/1/2004,23:00:00,1171,13.1,1088,822,1889,1132,20.2,65.2,1.5251,8.4,7.3
6/2/2004,0:00:00,1021,9.2,949,927,1764,977,19.5,68,1.5269,7,8.9
6/2/2004,1:00:00,964,7.5,877,958,1692,942,19.9,66.4,1.5203,3.9,6.6
6/2/2004,2:00:00,887,4.9,758,1094,1622,804,19.1,69,1.5043,2.6,4.3
6/2/2004,3:00:00,885,5.2,773,1051,1641,805,18.5,70.7,1.4962,2,3.2
6/2/2004,4:00:00,830,3.2,662,1217,1556,704,18.9,67.8,1.4689,2.1,4.1
6/2/2004,5:00:00,792,2.4,611,1280,1529,657,20,63.7,1.4742,2.4,6
6/2/2004,6:00:00,813,2.8,639,1267,1538,655,19.8,64.7,1.4769,9.6,5.6
6/2/2004,7:00:00,890,3.9,703,1145,1601,751,19.7,65.3,1.4843,15.4,4.8
6/2/2004,8:00:00,984,6.9,854,964,1751,885,20.8,62,1.5002,25,8.9
6/2/2004,9:00:00,1043,8.5,920,925,1777,955,22.2,56.6,1.4973,15.1,13.1
6/2/2004,10:00:00,1054,8.9,936,915,1791,962,24.3,49,1.4724,17.4,14.1
6/2/2004,11:00:00,1063,8.8,930,925,1749,957,25,46.5,1.4492,14.1,11.2
6/2/2004,12:00:00,978,7.4,873,1003,1669,788,28.9,34.8,1.3603,11.8,10
6/2/2004,13:00:00,887,4.7,748,1141,1560,596,29.6,33.4,1.3581,14.9,9.6
6/2/2004,14:00:00,887,4.8,754,1164,1523,560,30.9,30.7,1.3493,16,7.2
6/2/2004,15:00:00,977,6.8,850,1035,1645,701,31.8,31,1.4286,16.5,8.6
6/2/2004,16:00:00,1043,8.9,934,929,1707,811,31.4,31.2,1.4127,15.2,9
6/2/2004,17:00:00,1010,8.1,902,966,1676,724,28.9,35.7,1.3985,18.9,7.9
6/2/2004,18:00:00,1094,10.5,996,876,1807,864,27.2,42.5,1.5135,19,6.2
6/2/2004,19:00:00,1223,14.8,1142,778,1965,1084,26.2,46.4,1.5573,28.9,6.3
6/2/2004,20:00:00,1109,11.8,1042,834,1888,998,24.5,51,1.5454,13.4,6.3
6/2/2004,21:00:00,1026,8.7,927,915,1781,878,22.8,56.1,1.5353,10.9,11.2
6/2/2004,22:00:00,1036,8.7,928,914,1787,909,21.9,60.9,1.5799,8.9,12.8
6/2/2004,23:00:00,963,6.9,853,995,1732,789,21.7,61,1.5617,8.5,13.2
6/3/2004,0:00:00,996,7.3,868,957,1741,857,20.8,64.8,1.568,6.7,9.2
6/3/2004,1:00:00,999,6.9,853,951,1756,885,20.3,70.9,1.6699,4.2,5.8
6/3/2004,2:00:00,893,4.6,741,1056,1664,743,18.9,79,1.704,2.5,3.4
6/3/2004,3:00:00,730,1.3,530,1517,1362,445,18.1,64.6,1.3276,1.7,4.1
6/3/2004,4:00:00,753,1.7,562,1420,1414,454,18.6,64.5,1.3655,1.4,3.1
6/3/2004,5:00:00,825,3.2,663,1203,1504,610,17.6,67.4,1.346,2.8,2.2
6/3/2004,6:00:00,1012,10.1,982,882,1796,1024,17.6,67.6,1.3479,8.8,1.5
6/3/2004,7:00:00,1221,19.9,1293,688,2144,1316,19,61.7,1.3393,19.4,1.3
6/3/2004,8:00:00,1215,20.2,1303,694,2180,1358,20,57.4,1.3268,36.1,1.2
6/3/2004,9:00:00,1234,20.8,1318,714,2108,2202,22.6,45.9,1.2418,27.1,1.7
6/3/2004,10:00:00,1138,15.1,1152,798,1877,1947,27.3,34.3,1.2284,19,2.5
6/3/2004,11:00:00,987,10.9,1009,914,1697,1227,27.4,31,1.1184,16.9,2.5
6/3/2004,12:00:00,980,11.1,1019,921,1720,950,26.2,33.6,1.1244,15.7,2.7
6/3/2004,13:00:00,966,12.1,1054,885,1742,917,26.8,32.4,1.1263,14.1,1.9
6/3/2004,14:00:00,905,8.6,923,1025,1582,707,28.7,27.7,1.071,16.5,1.8
6/3/2004,15:00:00,903,9.7,968,992,1565,740,28.7,25,0.9684,14.8,2.4
6/3/2004,16:00:00,914,11,1014,988,1597,775,29.1,22.3,0.8811,13,2.6
6/3/2004,17:00:00,1050,16.6,1199,849,1781,1035,29,24.5,0.9655,21.4,3
6/3/2004,18:00:00,1043,14.7,1139,876,1756,1001,27.2,28.3,1.0016,23.6,2.9
6/3/2004,19:00:00,1125,19.5,1283,792,1899,1101,25.3,30,0.952,25,3.5
6/3/2004,20:00:00,1058,14.5,1134,855,1797,1034,24.1,34.8,1.0333,21.6,3.6
6/3/2004,21:00:00,951,7.8,892,1015,1611,786,23,43.1,1.1993,15.7,3.6
6/3/2004,22:00:00,944,7.8,891,1016,1593,844,22.1,43.9,1.1521,10.9,2.3
6/3/2004,23:00:00,959,7.8,892,996,1616,866,21,48.1,1.178,8.1,2.6
6/4/2004,0:00:00,974,8.5,919,976,1638,909,20.6,49.2,1.1754,10.2,2
6/4/2004,1:00:00,880,5.7,799,1097,1533,724,21.2,47.6,1.1799,7.5,1.2
6/4/2004,2:00:00,853,4.5,740,1146,1526,715,21,50.1,1.2338,5.8,0.7
6/4/2004,3:00:00,912,5.6,795,1042,1564,827,20.1,53.1,1.2342,3.8,0.5
6/4/2004,4:00:00,863,4.6,745,1098,1496,786,19,54,1.1745,3.3,0.5
6/4/2004,5:00:00,729,1.2,520,1570,1318,445,19.2,51.1,1.124,4,0.8
6/4/2004,6:00:00,830,3.4,674,1246,1459,607,19.2,53.1,1.1662,8.1,3.5
6/4/2004,7:00:00,1198,17,1209,779,2058,1213,20.6,49,1.1748,22.3,7
6/4/2004,8:00:00,971,10,977,921,1667,910,21.8,41.9,1.077,36.9,8.7
6/4/2004,9:00:00,885,6,812,1100,1495,675,22.8,37.6,1.0315,17.5,6.3
6/4/2004,10:00:00,862,5.7,798,1148,1456,582,24.8,31.3,0.9646,19.3,7
6/4/2004,11:00:00,892,6.9,853,1080,1509,666,26,29.4,0.976,17.6,5.5
6/4/2004,12:00:00,933,9.5,960,994,1577,726,27,27.8,0.9731,18.6,5.3
6/4/2004,13:00:00,975,11.1,1017,930,1668,801,27,29.3,1.0277,18,5.5
6/4/2004,14:00:00,927,8.1,905,1016,1554,711,27,29.6,1.0419,14,3.8
6/4/2004,15:00:00,993,10.2,985,950,1680,790,25.8,32.6,1.072,10.9,5.4
6/4/2004,16:00:00,1053,13.3,1093,873,1749,924,26.2,32.6,1.0892,11.1,6.7
6/4/2004,17:00:00,1116,16.6,1198,811,1863,1045,28.3,27.5,1.0418,21.6,12.2
6/4/2004,18:00:00,1097,16.9,1206,813,1867,1088,26.5,29.7,1.0123,27.6,10.2
6/4/2004,19:00:00,1116,17.5,1226,792,1938,1038,25.7,31.8,1.0317,25.6,6.7
6/4/2004,20:00:00,1057,13.1,1087,871,1769,981,24.4,35.2,1.0632,18.6,5.7
6/4/2004,21:00:00,973,9.2,949,987,1615,820,23.5,36.9,1.0518,15.2,4.1
6/4/2004,22:00:00,1016,10,977,951,1652,948,22.4,41,1.1006,11.7,4.7
6/4/2004,23:00:00,1120,13.1,1088,849,1785,1067,21.7,44.7,1.1451,8.7,5.2
6/5/2004,0:00:00,1076,12.9,1080,846,1787,1070,21.1,48.1,1.1864,7.6,5.1
6/5/2004,1:00:00,937,7.8,890,970,1625,877,20.7,50,1.203,5.2,2.8
6/5/2004,2:00:00,980,9.2,948,888,1702,1028,19.8,53.1,1.2093,5.9,1.4
6/5/2004,3:00:00,937,6.9,853,962,1604,969,19.8,53.6,1.2214,4,1
6/5/2004,4:00:00,852,4.5,739,1095,1525,837,19.6,54.8,1.236,3.3,2
6/5/2004,5:00:00,858,4.9,757,1066,1542,904,19.3,57.3,1.265,5.4,3
6/5/2004,6:00:00,963,7.9,894,942,1702,1065,19.7,58.4,1.3254,8.7,7.5
6/5/2004,7:00:00,966,7.4,874,969,1682,999,19.8,59.4,1.3554,19.9,24.7
6/5/2004,8:00:00,983,8,901,954,1691,986,20.9,54.8,1.3387,30.4,24.8
6/5/2004,9:00:00,990,7.6,881,985,1685,874,22.4,47.9,1.2817,24.6,10.9
6/5/2004,10:00:00,891,5.3,780,1110,1543,689,24.1,41.3,1.2202,16.9,11.9
6/5/2004,11:00:00,883,5.3,778,1130,1545,608,25.9,36.9,1.2133,13.6,16
6/5/2004,12:00:00,914,8,900,1010,1596,706,30.7,26,1.1287,15.3,15.7
6/5/2004,13:00:00,896,8.4,917,1017,1577,704,30.3,25.2,1.0652,14.1,13.1
6/5/2004,14:00:00,841,6,811,1135,1463,609,30.1,25.4,1.0641,17,12.2
6/5/2004,15:00:00,926,7.3,868,1048,1599,687,27.6,35.1,1.2764,13.8,15.8
6/5/2004,16:00:00,1133,10.2,984,838,1897,976,26.6,47.6,1.6315,13.6,16.6
6/5/2004,17:00:00,1042,9,939,917,1744,860,30.4,31.3,1.3331,21.2,18.4
6/5/2004,18:00:00,1124,14,1118,793,1915,1021,27.8,35,1.282,25.9,16.7
6/5/2004,19:00:00,1157,16.1,1183,738,1970,1079,26.6,37.9,1.2994,25.4,20.8
6/5/2004,20:00:00,989,8.2,906,954,1681,826,23.4,44.4,1.2646,23.6,15.3
6/5/2004,21:00:00,841,3.8,699,1123,1508,558,23,51.1,1.4175,12,11.5
6/5/2004,22:00:00,916,5.6,791,1007,1588,679,22.1,53.5,1.4087,14.2,10.1
6/5/2004,23:00:00,1008,8,900,907,1681,850,21.6,53.6,1.3674,14.2,10.4
6/6/2004,0:00:00,895,5.6,792,975,1574,733,21.9,52.7,1.365,10.4,9.4
6/6/2004,1:00:00,810,3.8,702,1093,1529,612,21.3,54.9,1.3707,7.5,6.9
6/6/2004,2:00:00,968,6.6,840,891,1727,788,17.5,79.1,1.5709,3.5,4
6/6/2004,3:00:00,922,7,859,871,1739,728,17.6,78.6,1.5722,2.5,3
6/6/2004,4:00:00,892,5.2,773,926,1660,724,17.1,81.8,1.5816,2.6,2.6
6/6/2004,5:00:00,806,2.4,615,1172,1525,543,16.6,80.2,1.5002,4,2.4
6/6/2004,6:00:00,827,3.1,659,1115,1552,616,16.8,77.4,1.4739,7,6.8
6/6/2004,7:00:00,881,5.2,776,1037,1623,677,18.3,66.5,1.381,24.8,18.9
6/6/2004,8:00:00,877,5.9,808,1011,1614,723,20.4,55.8,1.3196,28.9,30.2
6/6/2004,9:00:00,784,2.8,638,1314,1412,529,21.6,45.3,1.1533,21.5,14.9
6/6/2004,10:00:00,806,3.4,675,1270,1414,528,23.1,39.4,1.0983,12.9,12.2
6/6/2004,11:00:00,775,3,653,1349,1365,491,25.4,31.6,1.0058,12.2,8.3
6/6/2004,12:00:00,773,3.4,676,1331,1374,489,26.6,29,0.9928,13.1,9
6/6/2004,13:00:00,734,2.3,603,1471,1303,450,25.9,28.8,0.9475,13.3,13.7
6/6/2004,14:00:00,757,2.7,635,1445,1345,451,27,28,0.981,12.5,14.1
6/6/2004,15:00:00,817,3.6,688,1299,1435,512,23.6,38.1,1.0917,13,12
6/6/2004,16:00:00,815,4.2,720,1225,1418,525,25.9,32,1.0529,12.3,12.2
6/6/2004,17:00:00,844,4.9,757,1186,1445,556,26.3,31.5,1.0643,15.2,13.1
6/6/2004,18:00:00,880,5.9,807,1123,1510,599,23.9,36.8,1.0774,19.1,12.6
6/6/2004,19:00:00,906,6.6,838,1084,1547,694,23.7,36.8,1.0609,19.7,18.3
6/6/2004,20:00:00,904,7.6,882,1048,1549,744,22.5,37.8,1.0157,18.6,17.2
6/6/2004,21:00:00,877,7,858,1080,1535,724,21.8,39.2,1.0115,16.1,12.9
6/6/2004,22:00:00,918,7.5,879,1030,1569,804,20.9,42.6,1.04,15,13.7
6/6/2004,23:00:00,930,8.4,914,991,1631,862,20,45.6,1.0555,7.3,13.4
6/7/2004,0:00:00,870,7,858,1061,1557,811,19.3,47.9,1.059,8.9,13.5
6/7/2004,1:00:00,793,3.9,703,1222,1439,627,18.7,49,1.0462,6.6,9.9
6/7/2004,2:00:00,760,2.6,626,1263,1386,575,17.8,54.1,1.0938,4.3,4.4
6/7/2004,3:00:00,733,2,588,1281,1394,589,18.6,52.7,1.1206,3.2,4.3
6/7/2004,4:00:00,726,2.1,591,1263,1386,579,17.2,57.9,1.127,4.1,3.3
6/7/2004,5:00:00,732,2.4,613,1273,1413,605,18.2,54.1,1.1155,6,3.4
6/7/2004,6:00:00,933,9.6,962,867,1705,974,17.3,57.6,1.1289,5.6,9.3
6/7/2004,7:00:00,1061,15.4,1162,777,1898,1132,19.9,49.4,1.1354,4.8,23.4
6/7/2004,8:00:00,1201,25,1428,664,2249,1378,21.7,44.2,1.1321,8.9,27.7
6/7/2004,9:00:00,1065,15.1,1151,801,1894,1160,23.5,40,1.1386,13.1,22.1
6/7/2004,10:00:00,1075,17.4,1222,774,1943,1213,28.4,29.7,1.1345,14.1,10
6/7/2004,11:00:00,998,14.1,1119,832,1780,1057,31.6,24.1,1.0994,11.2,8.9
6/7/2004,12:00:00,922,11.8,1042,887,1744,832,31.3,24.1,1.0816,10,9.8
6/7/2004,13:00:00,1023,14.9,1147,829,1842,983,34.4,20.4,1.0857,9.6,9.4
6/7/2004,14:00:00,1039,16,1180,833,1815,1047,33.7,21.3,1.0988,7.2,9.8
6/7/2004,15:00:00,1054,16.5,1195,815,1848,1078,35.9,18.9,1.0999,8.6,9.5
